model,label,substrate_pair,rmse,mae,bias,mean_predictive_std,n
M5_ligand_onehot,Ligand identity one-hot baseline,1a_2b,16.26766201148642,13.038957547150787,-2.9865495027112217,12.808740212202785,64
M5_ligand_onehot,Ligand identity one-hot baseline,1a_2c,8.486373960126551,6.691792260088033,0.6554884864078351,12.892781203735016,64
M5_ligand_onehot,Ligand identity one-hot baseline,1b_2a,12.587652711990971,10.235044611016534,0.42824103978802297,12.938131749257867,64
M5_ligand_onehot,Ligand identity one-hot baseline,1b_2b,12.002860562395004,9.814569138654166,-1.737863569100973,12.972206677255938,64
M5_ligand_onehot,Ligand identity one-hot baseline,1b_2c,11.711446646252192,9.048809722242781,-1.05060625009114,12.835114068308126,64
M5_ligand_onehot,Ligand identity one-hot baseline,1c_2a,13.399133831731197,10.323421011490167,-2.1138949374546847,12.899631246064803,64
M5_ligand_onehot,Ligand identity one-hot baseline,1c_2b,14.325554845813514,11.535980958567938,1.839245009046158,12.828247805412877,64
M5_ligand_onehot,Ligand identity one-hot baseline,1c_2c,12.234472289109645,9.746543756296902,2.577181960852648,12.83671039504235,64
M5_ligand_onehot,Ligand identity one-hot baseline,1d_2a,11.552528324849376,8.511628708573003,-1.4052030938186872,13.099609421544779,64
M5_ligand_onehot,Ligand identity one-hot baseline,1d_2b,10.98023051393107,8.289013811724438,0.7195333499620159,12.864419105673912,64
M5_ligand_onehot,Ligand identity one-hot baseline,1d_2c,10.161805177034399,8.262397800565218,-2.1856425403090998,12.920859397250327,64
